;title;date;tags;person;annotation;answers;questions
0;Брендон Хартли: Судьбу гонки решили проблемы с резиной;2018-10-08 21:10:00+03:00;['Брендон Хартли', 'Toro Rosso'];Брендон Хартли;;"['Команда расстроена итогами гонки. Мы с Пьером стартовали шестым и седьмым, но ни один из нас не заработал очки. Лично я плохо стартовал: возникла серьезная пробуксовка, поэтому резина перегрелась и на первых пяти-шести кругах не хватало сцепления. Ко второму повороту я уже потерял три или четыре позиции. Задние шины сильно перегрелись, а резина настолько чувствительна к температуре, что это испортило мне начало гонки. Постепенно я смог вернуть шины в рабочий диапазон, время на круге стало улучшаться. Я довольно долго оставался на трассе, а после пит-стопа выехал позади обоих гонщиков Williams. Потребовалось несколько кругов, чтобы опередить Лэнса Стролла, потом я обогнал Сергея Сироткина, а затем застрял за Маркусом Эриксоном. Мой темп был выше, но я уступал на разгонах и не мог его опередить. К тому же начались проблемы с пузырением шин. Наверное, у Пьера были такие же сложности. В этом году мы отлично работали с резиной, но в Сузуке всё сложилось иначе. Сначала у меня возникли проблемы только с задними шинами, а ближе к финишу резина начала пузыриться на обеих машинах. С этим надо разобраться. Я не знаю, что послужило причиной, но мы были очень расстроены, не заработав очков в гонке после столь успешной квалификации.', 'Мы разговаривали о шинах. Судя по всему, проблемы с задними шинами в начале гонки – это следствие их пробуксовки и перегрева на старте. Иногда такая мелочь может иметь серьёзные последствия. В любом случае, проблемы с шинами возникли у нас обоих, и из-за этого мы потеряли очки. Я не знаю, что произошло на старте. У меня нет ощущения, что в тот момент я слишком многое сделал неправильно, но пробуксовка была настолько сильной, что я сразу потерял три или четыре позиции.', 'Мы стартовали на SuperSoft, а многие вокруг – на Soft. Я с самого начала потерял позиции, а после пит-стопа оказался в трафике. Гонщики Force India отлично справились – они быстро обогнали гонщиков Williams, а потом и Пьера. По нашему темпу в конце гонки видно, что проблемы с шинами в большей степени повлияли на наш результат, чем неправильная стратегия.', 'Я очень доволен новой версией мотора. Мы оба её использовали, и её эффективность вселяет оптимизм. В гонке было не так много позитивных моментов, но силовая установка работала без проблем. Это плюс.', 'В квалификации мы были конкурентоспособны, но в воскресенье у нас возникло больше проблем с шинами, чем в нескольких предыдущих гонках. Нам надо это проанализировать. Но можно точно сказать, что это была лучшая квалификация Toro Rosso за весь сезон; по крайней мере мы давно так не выступали на сухой трассе. Следовательно, машина действительно быстра на одном круге!']";['Брендон, как вы оцениваете результат?', 'После гонки вы долго разговаривали с инженерами…', 'Вы считаете, что ваш вариант стратегии был лучшим?', 'В этот уик-энд вы использовали третью версию мотора. Вы ей довольны?', 'Что вы думаете о скорости машины в Сузуке?']
1;Вандорн: Постараюсь поддерживать связь с Формулой 1;2018-10-08 13:51:00+03:00;['Стоффель Вандорн', 'McLaren'];Вандорн;;['Для нас гонка получилась долгой. В начале пришлось нелегко, и я потерял несколько позиций, но ничего не мог противопоставить более быстрым машинам – на прямых они проезжали мимо. После пит-стопа удалось отыграться, несмотря на проблемы с деградацией резины. Мы смогли реализовать стратегию с одним пит-стопом, и я финишировал 15-м. Пожалуй, это максимальный результат для нас на этой трассе.', 'Да, они были нашими основными соперниками. Их машины немного быстрее нашей, но мы лучше справились с проблемами с деградацией резины.', 'Я стараюсь по максимуму насладиться последними гонками сезона, хотя в нынешних условиях это нелегко. Каждый уик-энд мы – одни из последних. Мы словно дебютанты, и нам это совершенно не нравится. Мы должны занимать гораздо более высокие позиции. К сожалению, всё так, как есть.', 'Перемены пойдут мне на пользу. Два последних сезона в McLaren получились непростыми. По-моему, это худшие годы в истории команды, особенно в плане результатов. Смена обстановки мне поможет.', 'Я постараюсь так или иначе поддерживать связь с Формулой 1 – пока не знаю, как именно. Если появится шанс снова выступать в Гран При, я не хочу возвращаться любой ценой – мне нужна правильная обстановка.'];['В Японии вы стартовали 19-м и финишировали 15-м. Как вы оцениваете итоги гонки?\nСтоффель', 'Единственный позитивный момент – вы опередили Williams...\nСтоффель', 'Где вы берёте силы, чтобы справляться с работой, несмотря на сложную ситуацию в McLaren...\nСтоффель', 'Вам нужны перемены, чтобы всё начать заново?\nСтоффель', 'Можно сменить обстановку, но сохранить связь с Формулой 1, чтобы иметь возможность вернуться. Если вы вернетесь в Гран При, то при каких условиях?\nСтоффель']
2;Пьер Гасли: Я не хочу никого обвинять, но...;2018-10-07 20:28:00+03:00;['Пьер Гасли', 'Toro Rosso'];Пьер Гасли;;['Как я сказал вчера, в квалификации возникли проблемы с корреляцией данных, так что я использовал не самые подходящие настройки, а это влияло на мощность и надежность двигателя. Перед гонкой у нас были серьёзные опасения, поэтому мы спросили FIA, можно ли изменить настройки. Сначала они согласились, но потом передумали. Я вернулся к вчерашним настройкам – при них мощность чуть ниже, а управляемость хуже.', 'Гонка прошла бы хорошо, если бы продолжалась всего 27 кругов. К сожалению, в ней 53 круга. Я хорошо стартовал и опередил Хартли. Себастьян Феттель очень быстро проехал мимо. На первом отрезке мне было комфортно на шинах SuperSoft, я не так много уступал Грожану, а за нами ехала Force India. Однако мне было нелегко из-за настроек двигателя. Мы старались как-нибудь улучшить управляемость, но это непросто. Сегодня мы могли добиться большего, но всё так, как есть. Первый отрезок получился неплохим, я ехал седьмым… Пока не знаю, почему мне так поздно поменяли шины. Когда началась волна пит-стопов, я остался на трассе, а после своего пит-стопа вернулся позади обоих гонщиков Force India и Sauber, а также одного из пилотов Williams. Мы поставили шины Soft – они отлично работали, я совершил пару обгонов. Но вскоре задние шины начали пузыриться, а за 20 кругов до финиша я почувствовал сильную вибрацию. Ситуация ухудшалась, на последних кругах я даже не мог разглядеть, что происходит передо мной – настолько сильной была вибрация.', 'Нет, он произошёл гораздо позже, чем мы планировали.', 'Я держал её в курсе состояния шин. Конечно, у меня не вся информация. Я знал, что на тот момент обе машины Force India позади меня и мог их там удержать, хотя их темп немного выше. Я сказал, что лучше заехать в боксы раньше соперников, если мы не хотим, чтобы они опередили меня за счет стратегии. Затем я увидел, что Перес свернул в боксы. Я думал, что поеду на пит-стоп на следующем круге, но меня оставили на трассе. Потом Окон поменял шины. А затем стало слишком поздно.', 'Да, это был бы правильный выбор, но сложно всё сделать верно. Я не работал на трассе во второй тренировке, у нас не было данных о длинной серии кругов. Мы допустили ошибку.', 'Он ещё совсем новый, нам надо во всём разобраться. В Honda рано начали использовать его в гонках. В идеале надо больше времени поработать на стендовых испытаниях. Он хороший, но мы всё равно можем добиться прогресса по сравнению со второй версией мотора – она была менее мощная, но у неё лучше управляемость.', 'У нас много разных вариантов. Нет такого, чтобы всё было строго определено. Отчасти это зависит от развития событий в гонке. Но мы проехали более половины гонки на самом мягком составе резины, а это не лучший вариант.', 'Во второй тренировке я не успел проехать короткую серию кругов и проехал мало длинных серий, поэтому мы не работали с двигателем столько, сколько хотели. В третьей тренировке у меня снова возникли проблемы, которые, возможно, мы могли обнаружить во второй сессии. Кроме того, в третьей тренировке мы могли опробовать настройки для квалификации – и лучше подготовиться к этой сессии. Надо нормально работать по ходу уик-энда, а в Сузуке у нас не было такой возможности, поскольку всё прошло не так, как ожидалось. В итоге в гонке, а также отчасти в квалификации, мы расплатились за то, что недостаточно поработали на трассе по ходу уик-энда.', 'Ответить на этот вопрос очень сложно. С несколькими «если» я мог бы выиграть гонку!', 'Я был впереди них! Если бы мы провели пит-стоп на круг раньше их… Впрочем, после гонки всегда легко рассуждать, как стоило поступить. Когда надо сразу принять решение – это совершенно другая история. Машина позволяет бороться с Force India и с Грожаном – они были не так далеко. Но мы принимали неправильные решения.', 'Да. Я ужинал с ним во вторник вечером в Токио. Мы хорошо провели вечер. Там был президент и вице-президент компании, а также господин Ямамото. Сейчас я расстроен, потому что в Японии, перед местными болельщиками мы не смогли заработать очки после отличного выступления в квалификации. У нас был новый двигатель, позволяющий добиться более высокого результата, если бы стратегия была немного другой. Впрочем, я не хочу никого обвинять, потому что из-за проблем в тренировках было непросто сделать правильный выбор в гонке.', 'Мы знаем, что должны всё сделать правильно в квалификации и гонке, если хотим заработать очки. Если мы хорошо выступаем в квалификации, нам удаются отличные гонки. Так было в Монако, Будапеште, Бахрейне и даже Спа. В Японии мы отлично выступили в квалификации, но в гонке не смогли показать свою силу. Если удастся сохранить этот темп, мы должны быть не менее конкурентоспособны и дальше. Не знаю, как дальше сложится работа с двигателем, и какую версию мы будем использовать в Остине и Мексике. Это особенные гонки. Надо проанализировать возможное развитие событий. В то же время мы знаем, что если поставим новый двигатель, то нас ждут штрафы. Сейчас много вопросов о следующих гонках. Но с новой версией двигателя у нас больше шансов.', 'Когда за вас болеют больше, чем за Феттеля – это здорово! (смеётся) Я видел много людей в кепках и футболках Toro Rosso. Этот  уик-энд складывался по-особенному с тех пор, как мы сюда приехали, и именно поэтому было важно всё сделать правильно. И поэтому сейчас я расстроен результатом – не думаю, что мы безупречно выполнили свою работу. Вчера всё прошло фантастически, но сегодня мы могли добиться большего.', 'До следующего года ещё далеко – посмотрим. Это будет другая машина, но в Red Bull Racing всегда делают очень быстрые машины. Они известны своим мастерством создавать отличные шасси. Учитывая прогресс Honda, мы можем оказаться в очень хорошей ситуации. Но до этого ещё полгода, и за это время ещё многое может произойти. Я пока не хочу слишком много об этом думать.'];['На стартовой решетке вы говорили о каких-то проблемах с работой мотора? Что именно произошло?', 'Как складывалась гонка после старта?', 'Вы совершили пит-стоп на 29 круге. Так планировалось изначально?', 'Вы просили об этом команду?', 'Вы могли выбрать шины Medium…', 'У вас остаются только проблемы с управляемостью двигателя?', 'Это был единственный вариант стратегии?', 'Можно было бы избежать проблем с пузырением, если бы вы полноценно провели тренировки в пятницу?', 'Если бы вчера стратегия оказалась верной, вы могли занять пятое место в квалификации. Если бы сегодня всё получилось, на какой результат вы могли претендовать?', 'Вы могли бы опередить Force India?', 'Вы разговаривали с президентом Honda?', 'Что вы думаете о перспективах Toro Rosso в оставшихся гонках?', 'Вы впервые выступали перед японскими болельщиками в команде, сотрудничающей с Honda. Как вас приняли?', 'Сегодня Макс Ферстаппен поднялся на подиум. В следующем году за рулем Red Bull Racing вы тоже сможете финишировать в тройке?']
3;Хэмилтон: Я чувствую себя очень уверенно;2018-10-07 19:15:00+03:00;['Льюис Хэмилтон', 'Mercedes'];Хэмилтон;;['Потрясающе находиться в Японии, здесь фантастическая трасса. Не представляю, каково было гоняться в Сузуке в те времена, когда у машин были шины Michelin, огромная прижимная сила и трекшн-контроль, но и с нашей прижимной силой и большими шинами выступать сегодня было очень здорово. По сравнению с предыдущими днями направление ветра изменилось, на прямой к первому повороту он был попутный, во втором повороте – встречный, это было просто волшебно! Знаете, когда в гонке лидируешь с большим преимуществом, многим кажется, что тебе откровенно просто, но я всегда стараюсь обеспечить себе достаточный уровень прессинга и стремлюсь выложиться больше, чем раньше. Сегодня я старался ехать на пределе возможностей шин, сохраняя отрыв от соперников.', 'Пожалуй, это была единственная ошибка, которую вы могли заметить! (смеется) Да, я постоянно атаковал и на предыдущих кругах проходил 11-й поворот без каких-либо сложностей, но в тот момент немного промахнулся мимо апекса. В том повороте очень небольшая зона безопасности, так что пришлось понервничать!', 'Если говорить о трассах, не прощающих ошибки, Сузука и Монреаль будут на первых местах. Конечно, есть ещё Монако и Сингапур, но если мы говорим о стационарных автодромах, а не о городских, лучше Сузуки не найти. Хорошо, что здесь не решились строить широкие зоны безопасности и оставили гравийные ловушки. Например, к восьмому повороту мы подлетаем на огромной скорости, на апексе иногда проявляется едва заметная недостаточная поворачиваемость, и хочется максимально задействовать поребрик у внешней кромки трассы, но сразу за ним начинается гравий – попробуй, рискни! Именно такими должны быть классические трассы, и немного досадно, когда на смену гравийным ловушкам приходят асфальтовые зоны безопасности. С одной стороны, это упрощает задачу молодым гонщикам, но с другой стороны, когда они приезжают в Спа и без опасений проходят Pouhon на предельной скорости, у них возникает ложное впечатление, что в случае ошибки всегда можно просто вернуться обратно на траекторию. Лично мне Сузука нравится тем, что такой возможности она не оставляет.', 'Больше всего мне хотелось гоняться в Монако из-за уникальной атмосферы уик-энда, но Сузука своей фантастической конфигурацией мне безумно нравилась. Я грезил о ней с десятилетнего возраста, и сегодня во время парада пилотов хотелось остановить машину, чтобы дольше насладиться моментом, ведь в Сузуке буквально каждый поворот имеет богатую гоночную историю.', 'Мне всё это кажется чем-то нереальным. Я по-прежнему ощущаю себя ребенком из Стивенэйджа, хотя с тех пор прошло очень много лет. Тогда казалось, что между мной и Формулой 1 пропасть, что до Айртона Сенны мне безумно далеко. И пусть я уже выступаю в Формуле 1 и добился некоторых успехов, мне по-прежнему далеко до Сенны.', 'Я стараюсь напоминать молодым гонщикам, насколько важно получить хорошее образование. Многих детей родители забирают из школы, надеясь, что так они быстрее попадут в Формулу 1, но мест в чемпионате всего двадцать, и гораздо важнее, чтобы ребенок всё же закончил школу, притом сами дети не должны прогуливать занятия. Пилотажу они еще научатся – я сам сейчас очень много узнаю о своих собственных навыках и нашей машине. Конечно, чем раньше ребенок начинает заниматься автоспортом, тем лучше, и я часто говорю молодым гонщикам, что когда они попадут в Формулу 1, они будут знать намного больше, чем знал я в момент своего дебюта.', 'Знаете, по каким-то причинам мы, британцы, в работе сохраняем абсолютное спокойствие. Уверен, вне работы парни способны пошуметь и порадоваться, но при выполнении своих обязанностей они предельно сосредоточены. На подиуме я хотел показать им, что мой успех – это их заслуга, мы должны разделить радость победы! Я работаю с Mercedes уже шесть лет – это невероятный опыт, и я не знаю, смог бы кто-нибудь на нашем месте сработать лучше. Да, у нас были непростые времена, но сейчас отношения в коллективе лучше, чем когда-либо, каждый сотрудник чувствует свой вклад в общую цель и работает с максимальной самоотдачей. То же самое я могу сказать и про себя лично.', 'Вы знаете, как бывает в жизни: ты делаешь всё возможное в конкретной ситуации, а прошлое переписать невозможно. Мы всегда по максимуму выкладывались от трассы к трассе, но если бы в Сильверстоуне у меня самого было такое понимание машины, какое есть сейчас, мы бы выиграли гонку, даже если по чистой скорости в тот уик-энд не были быстрейшими. Это часть одного большого процесса, нужно как можно быстрее во всё вникать и добиваться результата даже в условиях прессинга. Знаете, мы с моим отцом как-то играли в теннис, и я заметил вот что: когда мы просто отрабатывали подачу, у отца всё получалось идеально, но стоило начать гейм, он сразу стал допускать ошибки! У меня всё было наоборот: если на тренировке дела не ладились, то с переходом к игре и усилением прессинга я подавал всё лучше! Такую же картину можно наблюдать и в гонках: тестов у нас практически нет, но в решающий момент уик-энда в условиях прессинга я чувствую себя очень уверенно.'];['Льюис, превосходное выступление! Если в Остине вы отыграете у Себастьяна еще восемь очков, пятый титул ваш! Как прошел уик-энд?\nЛьюис', 'В одиннадцатом повороте гонщики Red Bull Racing выглядели очень уверенно. Макс Ферстаппен активно прессинговал Валттери Боттаса, в какой-то момент ваш напарник допустил блокировку, но и у вас в том месте трассы была аналогичная ошибка. Вы допустили её потому, что сами продолжали атаковать?\nЛьюис', 'Сегодня многие там ошибались – похоже, поворот непростой, верно?\nЛьюис', 'Вы выиграли четыре из пяти последних гонок в Сузуке. В детстве вы больше всего желали гоняться именно здесь или на какой-то другой трассе?\nЛьюис', 'В Сузуке побеждали многие великие гонщики, притом с вашими здесь успехами вас уже можно отнести к великим. Что вы об этом думаете?\nЛьюис', 'Но для многих молодых гонщиков вы такой же кумир, каким для вас был Айртон!\nЛьюис', 'Похоже, сейчас вы очень довольны работой команды. Мы видели, как на подиуме вы указывали на механиков и инженеров, словно говоря: «Парни, вы сделали этот успех возможным!» Mercedes удалось превзойти Ferrari в работе над машиной, но скажите, насколько напряженной была атмосфера на базе?\nЛьюис', 'В этом году ваша команда выглядит очень уверенно, а соперники нередко допускают ошибки. Ваша машина далеко не во всех гонках выглядела быстрейшей, но в коллективе постоянно над ней работали. Пусть обновления не всегда были масштабными, они внедрялись регулярно, отсюда вопрос: если бы нынешняя машина была у вас в тех Гран При, где Mercedes уступали в скорости, каким мог быть результат?\nЛьюис']
4;Тото Вольфф: Для нас это была настоящая проверка;2018-10-07 18:05:00+03:00;['Тото Вольфф', 'Mercedes'];Тото Вольфф;;['Да, отличный уик-энд, мы хорошо его начали, продолжив работать в том же ключе, что и в Сочи. Гонщикам было комфортно за рулём, а когда они чувствуют уверенность, то могут атаковать на пределе, и это доставляет им удовольствие. Думаю, сегодня у нас всё получилось.', 'Нет, у нас был другой настрой. Мы хорошо провели гонку на скоростной Монце, в Сингапуре на извилистой трассе в условиях жары тоже выглядели неплохо и думали, что если и в Сузуке сможем подтвердить свою скорость, значит, машина быстра на всех типах трасс и справляется со всеми типами поворотов. Так что для нас это была настоящая проверка. Мы об этом говорили на прошлой неделе на совещании с нашими инженерами, а после этого прибыли сюда и победили.', 'Да, мы много работали, чтобы этого добиться. У нас можно допускать ошибки, но есть и возможность их исправлять. Наш девиз: «Увидел, скажи об этом и исправляй». Для этого необходимо создать атмосферу, в которой люди не боятся за свои рабочие места. Совещания, которые проходят в понедельник после гонки, начинаются с того, что все говорят о допущенных просчётах.', 'Нет. Валттери – отличный парень. После гонки в Сочи он сказал: «Нет необходимости что-то обсуждать, на вашем месте я бы поступил точно так же. Я всё понимаю, мне нужно было лучше выступать с самого начала сезона, чтобы реально претендовать на титул, а я этого не сделал. Поэтому я уважаю принятые вами решения».', 'Нам просто нравится то, что мы делаем, мы любим прессинг, в мире нет работы лучше, чем наша, когда мы приезжаем на трассу, и по результатам прохождения кругов сразу видно, хорошо мы справились с делом или нет. Постепенно команда становится всё более сплочённой.', 'Вообще-то, мы ещё не завершили этот сезон, но, по-моему, важно уметь проводить перезагрузку и ставить перед собой новые цели. Всегда есть риск успокоиться и почивать на лаврах, ведь может показаться, что вы уже всего добились. Поэтому надо браться за амбициозные задачи – кстати, в этом году ещё ни одна из них не решена, и до победы в Кубке конструкторов несколько дальше, чем до титула, поэтому мы продолжаем работать с полным напряжением сил. Когда мы этого добьёмся – хотя на этих словах надо постучать по дереву – тогда мы соберёмся, чтобы обсудить новые цели.'];['Это был ещё один впечатляющий уик-энд в исполнении Mercedes, и теперь Льюис буквально в шаге от титула, который он может досрочно обеспечить себе уже в Остине…', 'Перед Гран При Японии вы предвидели, что на этой трассе ваша машина будет заметно быстрее Ferrari, или всё-таки полагали, что соперники могут что-то вам противопоставить?', 'Вчера вы рассказывали о том, как в Mercedes организовано взаимодействие между руководителями, отвечающими за разные направления работы. В какой мере они несут ответственность за свои решения? Такое впечатление, что руководство команды действует как единое целое…', 'У вас были какие-то специальные договорённости с Валттери, что после того, как Льюис обеспечит себе титул, он тоже получит возможность одержать пару побед?', 'Что больше всего радует вас в работе Mercedes в этом году?', 'Как вы считаете, эта успешная полоса будет продолжаться? Льюис Хэмилтон – без пяти минут пятикратный чемпион, но может ли он выиграть ещё пару титулов и стать семикратным?']
5;Фернандо Алонсо: Стюарды не разобрались в эпизоде;2018-10-07 17:04:00+03:00;['Фернандо Алонсо', 'McLaren'];Фернандо Алонсо;;['После финиша Лэнс подошел ко мне извиниться, и мне сложно понять такое наказание. Это показывает, насколько странной стала Формула 1.', 'То, что решения принимаются случайным образом – никакой последовательности. Ты тормозишь снаружи перед последним поворотом, соперник тебя не видит, приходит извиниться, а ты получаешь штраф за то, что был вынужден выехать за пределы трассы. Обидно.', 'Нет, только на принятые решения. Он не видел меня. Если бы он меня видел и выдавил на траву, тогда другое дело, но стюарды не разобрались в гоночном эпизоде, который стал следствием неудачного стечения обстоятельств. В любом случае, это ничего не меняет – я бы финишировал двенадцатым, а не четырнадцатым.', 'Первый круг получился богатым на события – я отыграл несколько позиций. Всю гонку я вел интересную борьбу, в конце сражался с гонщиками Williams – у них возникли проблемы с резиной. Сегодня у нас не было скорости, чтобы бороться за очки – по ходу всего уик-энда мы были позади. Надеюсь, сможем прибавить на следующем этапе.'];['Фернандо, как вы можете прокомментировать пятисекундный штраф?', 'Что вы имеете в виду?', 'Значит, вы не злитесь на Лэнса?', 'Как вы оцениваете гонку?']
6;Кристиан Хорнер: Макс просто так не уступит;2018-10-07 16:02:00+03:00;['Кристиан Хорнер', 'Red Bull Racing'];Кристиан Хорнер;;['Я изначально считал это гоночным инцидентом, и хорошо, что стюарды пришли к такому же мнению. Себастьян действовал несколько самонадеянно, а мы все знаем, что Макс никогда просто так не уступит позицию. Тот маневр дорого обошелся самому Себастьяну – Феттель атаковал буквально в последний момент, и эта ошибка, похоже, свела его шансы на титул к минимуму. Не думаю, что Макс намеренно допустил контакт.', 'В гоночных условиях мы очень конкурентоспособны, но сегодня в результате столкновений машина Макса лишилась некоторых аэродинамических элементов и потеряла в прижимной силе. Тем не менее, Макс всё равно смог прессинговать Боттаса. Ближе к финишу шины у Mercedes начали пузыриться, Валттери стал допускать ошибки, блокировать резину. Ему не удавалось чисто обгонять отстававших на круг гонщиков, и казалось, что атака вот-вот получится, но гонка закончилась.', 'Макс пилотировал на пределе, но обгонять в Сузуке очень сложно. К тому же, здесь всего одна зона DRS. По-моему, то, что Максу удалось создать такой серьезный прессинг для Mercedes – уже фантастическое достижение.', 'Надеюсь, нас ждет успешный уик-энд, было бы особенно приятно снова видеть Даниэля Риккардо на подиуме. Хочется верить, в США и Мексике наша команда продолжит серию результативных выступлений – на эти два этапа мы возлагаем большие надежды.', 'Вполне очевидно, что Макс допустил ошибку. Он заблокировал колеса, выехал за пределы трассы, после чего постарался вернуться на траекторию, не оставив Кими места, хотя знал, что он едет позади.', 'Стюарды назначили ему пятисекундный штраф, Макс заехал в боксы, простоял там назначенное время, но всё же сумел вернуться на трассу впереди Кими – команда среагировала безупречно!', 'Обгонять в современной Формуле 1 очень сложно, но у Даниэля получались впечатляющие атаки, скажем, по внешнему радиусу в первом повороте. Риккардо очень быстр, и нам бы хотелось, чтобы он стартовал с более высокой позиции.', 'Даниэль получил штраф за замену силовой установки, мы, как команда, взяли на себя ответственность, но реальность такова, что в ситуации нет вины Red Bull Racing – это исключительно проблема Renault, и в Renault это понимают.', 'Сирил с нами теперь в принципе не разговаривает! (смеется) Но мы хотим завершить сотрудничество с Renault в максимально позитивном ключе и в оставшихся четырех гонках будем атаковать на пределе. Было бы здорово одержать еще одну победу – особенно с Даниэлем. Мы гарантировали себе третье место в Кубке конструкторов, в личном зачете позициям наших гонщиков тоже ничего не угрожает – осталось провести концовку сезона максимально уверенно.'];['Что скажете о том моменте, когда Себастьяна Феттеля развернуло при атаке на Макса Ферстаппена?', 'На последних кругах гонки Макс активно боролся с Валттери Боттасом. Насколько велико было преимущество Mercedes в тот момент, и насколько хорошо ехала ваша машина?', 'Мы видели, как в какой-то момент Макс практически вплотную подъехал к Валттери – насколько он был близок к тому, чтобы пройти Mercedes?', 'Следующий этап пройдет в Остине, где трасса традиционно подходила Red Bull Racing. Полагаете, вам удастся вмешаться в сражение между Mercedes и Ferrari?', 'Сегодня у Макса был инцидент и с Кими Райкконеном, и за этот контакт ваш гонщик получил штраф...', 'Тем не менее, Ферстаппену удалось компенсировать штраф и подняться на подиум...', 'В двух последних гонках Даниэль Риккардо отыграл двадцать три позиции! Как ему удается так прорываться?', 'Почему Даниэля так часто подводит машина? Это следствие того, что вы активно дорабатываете RB14?', 'Планируете ли вы лично обсудить это с Сирилом Абитебулом, раз уж стараетесь не позволять своим гонщикам участвовать в подобных дискуссиях?']
