;title;date;tags;text
0;Формула Е: Представлена трасса в Сантьяго;2018-10-09 14:54:00+03:00;['Формула Е'];"['Организаторы Формулы Е представили эскиз городской трассы в Сантьяго, которая примет третий этап пятого сезона чемпионата. Гонка по улицам столицы Чили намечена на 26 января 2019 года.', ""Новая трасса оказалась необходимой из-за того, что местные жители были недовольны тем, что прежняя проложена по дорогам парка Форесталь, расположенного в историческом центре города. Теперь трасса расположена в парке О'Хиггинс, и ей еще предстоит пройти процедуру официальной омологации FIA."", 'Соучредитель Формулы Е Альберто Лонго так прокомментировал появление новой трассы: «Я невероятно рад, что Сантьяго вновь примет этап Формулы Е во время пятого сезона серии. У меня остались яркие воспоминания о прошлогодней гонке, всем понравилась атмосфера в городе и вид на Анды».']"
1;Йос Ферстаппен недоволен решением стюардов;2018-10-09 14:39:00+03:00;['Йос Ферстаппен', 'Макс Ферстаппен', 'Red Bull Racing'];['Стюарды Гран При Японии наказали Макса Ферстаппена пятисекундным штрафом за небезопасное возвращение на трассу в борьбе с Кими Райкконеном. Отец гонщика не понимает, за что наказали его сына.', 'Йос Ферстаппен: «Макс допустил небольшую ошибку в шикане, а затем вернулся на трассу, где в тот момент никого не было. На мой взгляд, он выехал безопасно.', 'Теперь же после наказания Макс будет думать о том, как ему действовать в следующий раз. Он пытался нормально вернуться на трассу, но рядом оказался Кими. Ему гораздо проще было бы проехать прямо, как позже поступил Боттас. Однако Макс этого не сделал, поскольку опасался получить штраф за срезку поворота. В каких-то  ситуациях гонщики просто не знают, как им можно действовать, а как нет».']
2;Итальянская пресса: Ferrari в руинах;2018-10-09 14:11:00+03:00;['Себастьян Феттель', 'Ferrari'];['После Гран При Японии у Себастьяна Феттеля ещё остаются теоретические шансы на победу в чемпионате, но уже на следующем этапе в Остине Льюис Хэмилтон может гарантировать себе титул. Подводя итоги гонки в Сузуке, итальянская пресса не пощадила Себастьяна и его команду.', '«Ferrari в руинах, – пишет La Gazzetta dello Sport. – У команды ошибаются специалисты по стратегии, слабый гонщик, который не учится на своих ошибках, руководитель, публично критикующий своих сотрудников, и медленная машина. До этапа в Монце сложно было представить, что команда окажется в таком коллапсе».', 'Не менее красноречива и Corriere della Sera: «Немецкий гонщик добавил в свою коллекцию очередную ужасную ошибку, которая разрушила все, что было отыграно во время фантастического старта. Эти ошибки – выражение сильного смятения четырехкратного чемпиона мира, который переживает кризис доверия».', 'Похожую оценку дает и La Repubblica: «В то время как Хэмилтон близок к повторению рекорда Хуана-Мануэля Фанхио, Ferrari терпит неудачу. Феттель выбрал худший момент, чтобы проиграть, а руководитель команды Маурицио Арривабене критикует своих сотрудников».', 'Коротко, но емко характеризует ситуацию La Stampa: «Возможно, это череда неудач, но факт очевиден – Себастьян Феттель перестал действовать правильно».']
3;В Сузуке завершился первый день тестов Pirelli;2018-10-09 13:19:00+03:00;['Джек Эйткен', 'Renault'];['В Японии завершился первый из двух дней очередной серии тестов прототипов шин для сезона 2019 года. На этой неделе в Сузуке Pirelli работает вместе с Renault, тестируя слики.', 'За руль машины французской команды сел резервный пилот Джек Эйткен. Шинники не сообщили подробную статистику первого дня, отметив только, что британец проехал 104 круга.', 'В среду тесты продолжатся – за руль Renault R.S.18 сядет Артём Маркелов.']
4;Хэмилтон хочет, чтобы Ferrari вернулась в борьбу;2018-10-09 13:10:00+03:00;['Льюис Хэмилтон', 'Ferrari', 'Mercedes'];['Льюис Хэмилтон уверенно выиграл Гран При Японии, не ощутив серьезного сопротивления со стороны соперников. При этом гонщик Mercedes заявил, что ему бы хотелось чаще видеть такие гонки, как в Монце, с напряженной борьбой от старта до финиша.', 'Льюис Хэмилтон: «Мне понравилась гонка в Монце, я был бы рад, если бы каждая гонка проходила по похожему сценарию. После Монцы я думал, что так и будет, поскольку гонщики Ferrari оказались очень быстры на двух предыдущих этапах. Но потом они серьезно потеряли в скорости и им стало сложнее.', 'Я хочу бороться в гонках от старта до финиша. На каждом этапе я хочу бороться так же, как и в Монце – мне все больше и больше нравятся сложные гонки. К сожалению, в реальности этого не происходит, но это не означает, что мы перестанем получать удовольствие от проделанной работы.', 'Мне всегда нравились гонки с плотной борьбой колесо в колесо. Кто раньше затормозит, кто первым отступит – в условиях прессинга проверяется твоя психологическая устойчивость. Я всегда рад подобным моментам, и ценю их. В Сочи, когда наша стратегия не сработала, я смог продемонстрировать свои способности, и для меня это было важно».']
5;Вильнёв: Об этом сезоне Феттель мог бы написать книгу;2018-10-09 10:28:00+03:00;['Жак Вильнев', 'Себастьян Феттель'];['В эфире Sky Italia Жак Вильнёв комментировал действия Себастьяна Феттеля в инциденте с Максом Ферстаппеном в Сузуке, который привёл к развороту немца…', 'Жак Вильнёв: «Он был слишком далеко позади, когда решился атаковать. Макс не мог просто сказать: «Пожалуйста, проезжай мимо». Феттель попытался выйти вперёд и действовал чисто, но манёвр был слишком рискованным.', 'Об этом сезоне Феттель может написать книгу под названием «Как потерять чемпионский титул». Ключевая разница между ним и Хэмилтоном в этом году в том, что Льюис сначала думает, а потом атакует.', 'Себастьян понимает, что в этом году не выиграет титул. Напряжение постепенно спадает. В прошлой гонке он уже выглядел более расслабленным».']
6;Формула Е: Дилманн и Тёрви поедут за NIO;2018-10-09 10:00:00+03:00;['Том Дилманн'];['Команда NIO серии Формула Е подтвердила состав пилотов на пятый сезон. Напарником Оливера Тёрви, выступавшего за NIO в прошлом сезоне, стал фразцуз Том Дилманн, прежде гонявшийся в составе Venturi. Одним из партнёров команды стала компания Acronis.', 'Джерри Хьюз, руководитель команды: «После напряженного периода тестов  мы рады официально представить нашу машину, гоночную раскраску и состав пилотов. Я очень рад приветствовать Тома в нашей команде на старте новой эры уличных гонок на электрических машинах с открытыми колёсами».']
7;Браун: Ferrari нужно сплотиться и достойно завершить сезон;2018-10-08 19:08:00+03:00;['Росс Браун', 'Ferrari'];['После Гран При Японии в итальянской прессе появились предположения, что спад результатов Ferrari во второй половине сезона связан с кончиной президента компании Серджио Маркионне. Спортивный директор Формулы 1 Росс Браун, ранее работавший в Ferrari, заявил, что команде нужно сплотиться, чтобы справиться с трудностями.', 'Росс Браун: «Достаточно небольшого анализа поведения машины, чтобы понять, что у Ferrari отличная техника. Последние несколько лет команда напряженно работала, сократив отставание от Mercedes в технической сфере, которое появилось, когда Формула 1 перешла на гибридные моторы в 2014 году. Машина Ferrari стала надежнее по сравнению с прошлым сезоном.', 'Нет сомнений, что важную роль сыграл шок после внезапной смерти лидера компании Серджио Маркионне, на которого ориентировалась вся команда. Это можно понять. Поскольку во времена работы в Маранелло я сам прошёл через несколько кризисов в команде, я знаю, что сейчас ей нужно сплотиться и сосредоточиться на будущем, не прибегая к взаимным упрёкам и не испытывая чувство вины.', 'Гонщики, инженеры и руководители – все побеждают и проигрывают вместе. Это неписаное правило в любом спорте, не только в Формуле 1. Это знают все в Маранелло. Настало время всё исправить и достойно завершить сезон, в котором было много позитивных моментов».']
8;Анализ: Как Перес опередил Грожана на рестарте;2018-10-08 18:43:00+03:00;['Роман Грожан', 'Серхио Перес'];['Вечером в воскресенье в Японии Роман Грожан очень недоумевал по поводу эпизода, произошедшего между ним и Серхио Пересом на рестарте после периода виртуального автомобиля безопасности (VSC). До начала режима он опережал пилота Force India на 2,4 секунды, однако как только гонка возобновилась, Серхио оказался прямо позади него и тут же атаковал.', 'Разумеется, Перес не нарушал правила – за их соблюдением следит автоматика, мексиканец тут же был бы оштрафован. Он и его команда получили преимущество благодаря лучшему пониманию правил процедуры VSC. Журналисты RaceFans проанализировали события, в том числе радиопереговоры команд, чтобы выяснить, как это произошло.', 'Во время режима VSC гонщики должны проезжать круг примерно на 30% медленнее, чем обычно. Отслеживается это время не по итогам всего круга, а гораздо чаще. Для этого каждая трасса разделяется на множество маршальских секторов – в Сузуке их 30. Отслеживание соответствия времени пилота и заданного времени происходит каждые 50 метров (то есть 3-4 раза за сектор).', 'В соответствии с регламентом, каждый гонщик должен быть медленнее указанного ему времени по меньшей мере на одной из этих отсечек внутри маршальского сектора. Однако на остальных секторах он может ехать быстрее. Именно этот нюанс использовали в Force India. Гоночный инженер Переса, Тим Райт, внимательно отслеживал процесс эвакуации машины Леклера (из-за которого и был объявлен режим VSC) и информировал пилота.', 'В районе поворота Dunlop Райт сказал Пересу, что период VSC заканчивается, и Серхио начал прибавлять. Какое-то время инженер сдерживал пилота, но уже в первом Degner Серхио ехал намного быстрее Грожана. Если бы период VSC продолжался немного дольше, Серхио пришлось бы сбросить скорость, так как начинался новый маршальский сектор. Но тут Пересу повезло – режим VSC закончился ровно в тот момент, когда они подъехали к Degner 2.', 'Перес по-прежнему был позади Грожана, но уже вплотную за ним, и при этом имел преимущество в скорости. К тому же, он был на шинах Soft, тогда как Грожан на Medium, а прогреть этот состав намного сложнее. В итоге на короткой прямой по пути к шпильке Серхио смог опередить соперника.', 'Произошедшее стало большим сюрпризом как для Грожана, так и для его команды – в послегоночном релизе они обещали внимательно разобраться с тем, что произошло. В действительности это далеко не первый случай использования подобной стратегии при появлении виртуального автомобиля безопасности. Куда более яркий эпизод, к примеру, произошёл ещё в 2016 году на этапе GP2 в Монако. Тогда умелое использование особенностей регламента VSC принесло первую победу Артёму Маркелову.']
9;Мика Хаккинен: Феттель должен был рисковать;2018-10-08 18:05:00+03:00;['Мика Хаккинен', 'Себастьян Феттель', 'Ferrari'];['В Сузуке Себастьян Феттель попробовал жестко атаковать Макса Ферстаппена, но голландец не уступил, и машину Ferrari развернуло. Феттель потерял много позиций, всю гонку отыгрывался, а в итоге финишировал шестым. Многие посчитали этот манёвр очередной ошибкой немецкого гонщика, но двукратный чемпион Мика Хаккинен не согласен с такой позицией.', 'Мика Хаккинен: «Себастьян должен был атаковать! В его ситуации он должен пробовать всё, что может помочь добиться максимального результата. Феттель знает, что Mercedes сильнее. Если он не будет выкладываться, то ничего не выиграет. Конечно, он уже много рисковал, но риск – это часть Формулы 1».']
